"","SYMBOL","SECTOR","AVG.RTRN","AVG.GAIN","AVG.LOSS","MAX.GAIN","MAX.LOSS","PCT.POS","PCT.NEG"
"225","ROST","Consumer Services",1.33,6.43,-3.76333333333333,12.28,-11.05,50,50
"226","RP","Technology",3.66,4.579,-0.955,9.6,-1.6,83.3333333333333,16.6666666666667
"227","RYAAY","Transportation",1.5,4.39,-3.13,6.99,-6.05,61.5384615384615,38.4615384615385
"228","SABR","Technology",-2.11,2.92,-7.97166666666667,5.08,-11.57,53.8461538461538,46.1538461538462
"229","SAGE","Health Care",-2.77,2.83,-6.27125,4.23,-17.36,38.4615384615385,61.5384615384615
"230","SBAC","Consumer Services",-0.19,2.47,-2.46285714285714,3.17,-5.96,46.1538461538462,53.8461538461538
"231","SBNY","Finance",0.03,1.93285714285714,-2.18666666666667,4.04,-5.2,53.8461538461538,46.1538461538462
"232","SBUX","Consumer Services",-1.39,2.215,-2.99666666666667,5.1,-6.07,30.7692307692308,69.2307692307692
"233","SEIC","Finance",0.55,1.279,-1.88666666666667,4.85,-3.67,76.9230769230769,23.0769230769231
"234","SGEN","Health Care",-3.59,3.362,-7.92875,4.51,-26.59,38.4615384615385,61.5384615384615
"235","SIRI","Consumer Services",0.34,1.78142857142857,-1.34166666666667,2.97,-3.47,53.8461538461538,46.1538461538462
"236","SIVB","Finance",0.48,7.90285714285714,-8.18333333333333,16.16,-19.34,53.8461538461538,46.1538461538462
"237","SNPS","Technology",2.27,4.8325,-1.838,9.23,-4.33,61.5384615384615,38.4615384615385
"238","SNY","Health Care",-0.21,2.392,-2.10714285714286,5.57,-3,41.6666666666667,58.3333333333333
"239","SPLK","Technology",5.59,11.16,-5.5375,26.83,-5.94,66.6666666666667,33.3333333333333
"240","SRPT","Health Care",-0.98,2.09,-3.17428571428571,3.29,-4.46,41.6666666666667,58.3333333333333
"241","SSNC","Technology",2.43,3.889,-2.43,8.79,-4.21,76.9230769230769,23.0769230769231
"242","STLD","Basic Industries",1.01,2.57571428571429,-0.813333333333333,5.41,-1.95,53.8461538461538,46.1538461538462
"243","STX","Technology",-2.55,9.226,-9.915,15.76,-22.11,38.4615384615385,61.5384615384615
"244","SWKS","Technology",0.61,5.18333333333333,-3.31428571428571,10.57,-7.16,46.1538461538462,53.8461538461538
"245","SYMC","Technology",-2.81,9.275,-8.18333333333333,14.29,-30.17,30.7692307692308,69.2307692307692
"246","TEAM","Technology",2.63,8.66571428571429,-5.302,20.3,-10.7,58.3333333333333,41.6666666666667
"247","TECH","Health Care",0.1,3.58833333333333,-2.89714285714286,9.38,-6.38,46.1538461538462,53.8461538461538
"248","TER","Capital Goods",1.44,7.53142857142857,-5.665,11.75,-9.9,53.8461538461538,46.1538461538462
"249","TMUS","Public Utilities",0.88,2.37125,-1.506,7.07,-3.22,61.5384615384615,38.4615384615385
"250","TRIP","Technology",0.16,14.786,-8.985,22.24,-17.96,38.4615384615385,61.5384615384615
"251","TRMB","Capital Goods",1.14,4.40555555555556,-6.2125,18.39,-7.38,69.2307692307692,30.7692307692308
"252","TROW","Finance",-1.31,1.366,-2.9775,2.37,-5.1,38.4615384615385,61.5384615384615
"253","TSCO","Consumer Services",0.03,3.79285714285714,-4.35,10.35,-8.29,53.8461538461538,46.1538461538462
"254","TSLA","Capital Goods",2.47,8.28285714285714,-4.32,20.22,-6.28,53.8461538461538,46.1538461538462
"255","TTWO","Technology",3.6,7.072,-7.98,15.25,-13.24,76.9230769230769,23.0769230769231
"256","TXN","Technology",0.33,2.58428571428571,-2.30166666666667,8.48,-5.75,53.8461538461538,46.1538461538462
"257","UAL","Transportation",0.45,1.05125,-0.522,1.65,-1.31,61.5384615384615,38.4615384615385
"258","UBNT","Technology",5.5,12.9525,-6.43,21.07,-14.04,61.5384615384615,38.4615384615385
"259","UHAL","Consumer Services",-1.38,2.302,-3.67875,5.73,-5.42,38.4615384615385,61.5384615384615
"260","ULTA","Consumer Services",0.39,5.41714285714286,-6.642,13.3,-10.94,58.3333333333333,41.6666666666667
"261","ULTI","Technology",2.56,6.63875,-3.956,21.64,-12.67,61.5384615384615,38.4615384615385
"262","VIA","Consumer Services",-0.94,2.59166666666667,-3.97,5.45,-10.75,46.1538461538462,53.8461538461538
"263","VIAB","Consumer Services",-2.51,3.5825,-5.21333333333333,7.15,-16.14,30.7692307692308,69.2307692307692
"264","VRSK","Technology",-1.12,1.444,-2.725,1.86,-7.77,38.4615384615385,61.5384615384615
"265","VRSN","Technology",1.15,2.52444444444444,-1.9575,4.7,-4.45,69.2307692307692,30.7692307692308
"266","VRTX","Health Care",-0.71,2.42142857142857,-4.35833333333333,5.32,-10.72,53.8461538461538,46.1538461538462
"267","WB","Technology",4.03,8.01625,-3.94,21.96,-9.68,66.6666666666667,33.3333333333333
"268","WBA","Health Care",-1.04,2.406,-3.20125,5.24,-9.11,38.4615384615385,61.5384615384615
"269","WDAY","Technology",-1.14,5.786,-6.08285714285714,8.65,-18.85,41.6666666666667,58.3333333333333
"270","WDC","Technology",0.86,7.59333333333333,-4.91,19.96,-14.56,46.1538461538462,53.8461538461538
"271","WIX","Technology",1.46,8.10857142857143,-6.29333333333333,14.68,-13.6,53.8461538461538,46.1538461538462
"272","WLTW","Finance",-0.16,1.59857142857143,-2.215,3.62,-5.13,53.8461538461538,46.1538461538462
"273","WWD","Energy",0.88,3.68,-2.38833333333333,8.27,-4,53.8461538461538,46.1538461538462
"274","WYNN","Consumer Services",0.03,7.31,-4.51375,11.42,-10.22,38.4615384615385,61.5384615384615
"275","XEL","Public Utilities",-0.09,1.264,-0.93125,2.84,-3.86,38.4615384615385,61.5384615384615
"276","XLNX","Technology",2.44,4.59,-2.39,8.48,-5.48,69.2307692307692,30.7692307692308
"277","XRAY","Health Care",-3.12,1.4275,-5.38875,2.57,-16.89,33.3333333333333,66.6666666666667
"278","YNDX","Technology",3.33,4.69272727272727,-4.15,10.35,-6.4,84.6153846153846,15.3846153846154
"279","Z","Miscellaneous",-0.07,7.56666666666667,-6.62285714285714,20.51,-20.56,46.1538461538462,53.8461538461538
"280","ZBRA","Technology",3,5.00636363636364,-8.06,11.42,-12.93,84.6153846153846,15.3846153846154
"281","ZG","Miscellaneous",-0.8,6.95666666666667,-7.45,19.95,-20.44,46.1538461538462,53.8461538461538
"282","ZION","Finance",0.98,3.35285714285714,-1.795,6.95,-3.67,53.8461538461538,46.1538461538462
